product_name,price_raw,price,rating,source,category,scraped_at
TROND,398,398.0,4.6,Amazon India,mens premium tshirt,2026-04-17 21:12:27
LEOTUDE,299,299.0,3.9,Amazon India,mens premium tshirt,2026-04-17 21:12:27
LEOTUDE,293,293.0,4.0,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Boldfit,499,499.0,4.1,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Tereza,499,499.0,4.2,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Parx,598,598.0,4.6,Amazon India,mens premium tshirt,2026-04-17 21:12:27
LEOTUDE,298,298.0,3.7,Amazon India,womens black tshirt,2026-04-17 21:13:15
JUNEBERRY,399,399.0,4.1,Amazon India,womens black tshirt,2026-04-17 21:13:15
LEOTUDE,298,298.0,3.6,Amazon India,womens black tshirt,2026-04-17 21:13:15
Wear Your Opinion,474,474.0,4.0,Amazon India,womens black tshirt,2026-04-17 21:13:15
Mack Jonney,295,295.0,3.2,Amazon India,womens black tshirt,2026-04-17 21:13:15
Bewakoof,499,499.0,4.5,Amazon India,womens black tshirt,2026-04-17 21:13:15
LEOTUDE,296,296.0,4.2,Amazon India,womens black tshirt,2026-04-17 21:13:15
London Hills,499,499.0,3.9,Amazon India,womens black tshirt,2026-04-17 21:13:15
CHKOKKO,289,289.0,3.7,Amazon India,womens black tshirt,2026-04-17 21:13:15
Max,349,349.0,4.0,Amazon India,womens black tshirt,2026-04-17 21:13:15
Aahwan,299,299.0,4.0,Amazon India,womens black tshirt,2026-04-17 21:13:15
LEOTUDE,298,298.0,,Amazon India,womens black tshirt,2026-04-17 21:13:15
RodZen,449,449.0,4.1,Amazon India,womens black tshirt,2026-04-17 21:13:15
Mack Jonney,229,229.0,3.2,Amazon India,womens black tshirt,2026-04-17 21:13:15
STYLENSE,349,349.0,3.5,Amazon India,womens black tshirt,2026-04-17 21:13:15
KRYPTIC,333,333.0,3.6,Amazon India,womens black tshirt,2026-04-17 21:13:15
Aahwan,362,362.0,3.8,Amazon India,womens black tshirt,2026-04-17 21:13:15
Jockey,329,329.0,4.3,Amazon India,womens black tshirt,2026-04-17 21:13:15
Femmora,421,421.0,3.7,Amazon India,womens black tshirt,2026-04-17 21:13:15
GAP,799,799.0,1.0,Amazon India,womens black tshirt,2026-04-17 21:13:15
LEOTUDE,298,298.0,4.0,Amazon India,womens black tshirt,2026-04-17 21:13:15
Raavi colors,299,299.0,,Amazon India,womens black tshirt,2026-04-17 21:13:15
Mack Jonney,319,319.0,4.0,Amazon India,womens black tshirt,2026-04-17 21:13:15
V TOWN,389,389.0,,Amazon India,womens black tshirt,2026-04-17 21:13:15
FLEXIMAA,299,299.0,3.9,Amazon India,womens black tshirt,2026-04-17 21:13:15
Allen Solly,824,824.0,4.0,Amazon India,mens sweatshirt,2026-04-17 21:13:41
GAP,"1,119",1119.0,,Amazon India,mens sweatshirt,2026-04-17 21:13:41
Mack Jonney,418,418.0,3.5,Amazon India,mens sweatshirt,2026-04-17 21:13:41
Imsa Moda,473,473.0,3.6,Amazon India,mens sweatshirt,2026-04-17 21:13:41
Lymio,599,599.0,3.4,Amazon India,mens sweatshirt,2026-04-17 21:13:41
LEOTUDE,448,448.0,3.6,Amazon India,mens sweatshirt,2026-04-17 21:13:41
JVX,599,599.0,4.0,Amazon India,mens sweatshirt,2026-04-17 21:13:41
GRECIILOOKS,499,499.0,4.1,Amazon India,mens sweatshirt,2026-04-17 21:13:41
JVX,429,429.0,3.8,Amazon India,mens sweatshirt,2026-04-17 21:13:41
Trillion,477,477.0,3.8,Amazon India,mens sweatshirt,2026-04-17 21:13:41
FN3,449,449.0,3.5,Amazon India,mens sweatshirt,2026-04-17 21:13:41
LEOTUDE,449,449.0,3.6,Amazon India,mens sweatshirt,2026-04-17 21:13:41
Trillion,799,799.0,3.9,Amazon India,mens sweatshirt,2026-04-17 21:13:41
KAJARU,395,395.0,3.9,Amazon India,mens sweatshirt,2026-04-17 21:13:41
Noble Monk,569,569.0,3.8,Amazon India,mens sweatshirt,2026-04-17 21:13:41
Amazon Brand - Symbol,549,549.0,4.0,Amazon India,mens sweatshirt,2026-04-17 21:13:41
LEOTUDE,298,298.0,3.6,Amazon India,mens sweatshirt,2026-04-17 21:13:41
Louis Philippe,"1,415",1415.0,,Amazon India,mens sweatshirt,2026-04-17 21:13:41
Allen Solly,"1,044",1044.0,3.9,Amazon India,mens sweatshirt,2026-04-17 21:13:41
ADRO,999,999.0,4.2,Amazon India,mens sweatshirt,2026-04-17 21:13:41
LEOTUDE,449,449.0,3.6,Amazon India,mens sweatshirt,2026-04-17 21:13:41
Jump Cuts,372,372.0,3.6,Amazon India,mens sweatshirt,2026-04-17 21:13:41
Alan Jones Clothing,650,650.0,4.0,Amazon India,mens sweatshirt,2026-04-17 21:13:41
zozera,399,399.0,3.3,Amazon India,mens sweatshirt,2026-04-17 21:13:41
LEOTUDE,448,448.0,3.6,Amazon India,mens sweatshirt,2026-04-17 21:13:41
The Indian Garage Co,580,580.0,3.8,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
London Hills,699,699.0,3.8,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Thomas Scott,579,579.0,3.8,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Levi's,"1,200",1200.0,3.9,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Urbano Fashion,672,672.0,3.6,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Louis Philippe,"1,609",1609.0,4.0,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
The Indian Garage Co,540,540.0,3.7,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
London Hills,699,699.0,3.8,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Urbano Fashion,674.,674.0,3.7,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Urbano Fashion,692.,692.0,3.6,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
The Indian Garage Co,639,639.0,4.0,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Peter England,"1,289",1289.0,4.0,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
The Indian Garage Co,675,675.0,3.7,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
GAP,"1,199",1199.0,4.7,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
RAGZO,899,899.0,3.3,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
The Indian Garage Co,560,560.0,3.7,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Urbano Fashion,630,630.0,3.6,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Urbano Fashion,630,630.0,3.6,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Spykar,"1,349.",1349.0,,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Spykar,"1,569",1569.0,3.3,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Levi's,"1,350",1350.0,3.8,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Levi's,"1,799",1799.0,4.0,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Levi's,"1,799",1799.0,3.9,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Ben Martin,874,874.0,3.6,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Levi's,"1,835.",1835.0,3.8,Amazon India,mens slim fit jeans,2026-04-17 21:13:54
Nifty,729,729.0,3.6,Amazon India,womens jeans,2026-04-17 21:14:11
KOTTY,476,476.0,3.8,Amazon India,womens jeans,2026-04-17 21:14:11
TAGAS,769,769.0,3.6,Amazon India,womens jeans,2026-04-17 21:14:11
Nifty,729,729.0,3.6,Amazon India,womens jeans,2026-04-17 21:14:11
Ben Martin,924,924.0,3.8,Amazon India,womens jeans,2026-04-17 21:14:11
London Hills,749,749.0,4.0,Amazon India,womens jeans,2026-04-17 21:14:11
KOTTY,478,478.0,3.8,Amazon India,womens jeans,2026-04-17 21:14:11
Nifty,729,729.0,3.6,Amazon India,womens jeans,2026-04-17 21:14:11
KOTTY,549,549.0,3.9,Amazon India,womens jeans,2026-04-17 21:14:11
INKD,899,899.0,4.0,Amazon India,womens jeans,2026-04-17 21:14:11
London Hills,748,748.0,4.0,Amazon India,womens jeans,2026-04-17 21:14:11
Nifty,495,495.0,3.8,Amazon India,womens jeans,2026-04-17 21:14:11
Miss Chase A+,999,999.0,4.2,Amazon India,womens jeans,2026-04-17 21:14:11
GRECIILOOKS,729,729.0,3.9,Amazon India,womens jeans,2026-04-17 21:14:11
Nifty,492,492.0,3.8,Amazon India,womens jeans,2026-04-17 21:14:11
Levi's,"1,949",1949.0,3.8,Amazon India,womens jeans,2026-04-17 21:14:11
KOTTY,400,400.0,4.1,Amazon India,womens jeans,2026-04-17 21:14:11
U.S. Polo Assn.,"1,494",1494.0,4.3,Amazon India,womens jeans,2026-04-17 21:14:11
Amazon Brand - Symbol,699,699.0,3.8,Amazon India,womens jeans,2026-04-17 21:14:11
Nifty,729,729.0,4.0,Amazon India,womens jeans,2026-04-17 21:14:11
KOTTY,478,478.0,3.8,Amazon India,womens jeans,2026-04-17 21:14:11
U.S. Polo Assn.,"1,512",1512.0,3.9,Amazon India,womens jeans,2026-04-17 21:14:11
DOLLFASHION,499,499.0,2.8,Amazon India,womens jeans,2026-04-17 21:14:11
KOTTY,476,476.0,3.9,Amazon India,womens jeans,2026-04-17 21:14:11
Nifty,659,659.0,4.1,Amazon India,womens jeans,2026-04-17 21:14:11
